variable,value
a_1,10
a_2,3
a_3,3
a_4,5
a_5,6
a_6,3
a_7,6
b_1,6
b_2,7
b_3,7
b_4,7
b_5,5
b_6,7
b_7,7
b_8,12
c_1,6
d_1,3
d_2,3
e_1,12
e_2,2
f_1,3
g_1,9
h_1,5
i_1,5
j_1,50
k_1,12
l_1,5
m_1,3
n_1,24
o_1,68
