Compound	OCTU-TOP_bin.16.o	OCTU-TOP_bin.25.o	OCTU-TOP_bin.9.o	OSBS-TOP_bin.2.o	PPRH-TOP_bin.21.o
L-alanylglycine_e0	0	0	0	0	0
ala-L-glu-L_e0	0	0	0	1.56376	0
Cys-Gly_e0	0	0	0	0.0329392	0
Fe2+_e0	0	0	0	0.0658784	0
ala-L-asp-L_e0	0	0	0	0	0
Gly-Cys_e0	0	0	0	0.810022	0
gly-asp-L_e0	0	0	0	1.06397	0
gly-glu-L_e0	0	0	0	0	0
Ala-Gln_e0	0	0	0	1.31803	0
met-L-ala-L_e0	0	0	0	1.35951	0
gly-asn-L_e0	0	0	0	2.13637	2.8614
Cobinamide_e0	0	0	0	0.0123522	0
Deoxyadenosine_e0	0	0	0	0.0329392	0
S-Adenosyl-L-methionine_e0	0	0	0	0.0329392	0
L-Lysine_e0	0	0	0	3.0364	0
Guanosine_e0	0	0	0	0.0329392	0
dTMP_e0	0	0	0	0.322806	0
3_5'-Cyclic CMP_e0	0	0	0	0.894667	0
L-Lactate_e0	0	0	0	0	-589.613
Aminoethanol_e0	0	0	0	0	0.14395
Dephospho-CoA_e0	0	0	0	0	0.0837217
dGTP_e0	0	0	0	0	0.216582
