Compound	DCFS-BTM_bin.3.s	UT12-BTM_bin.10.o	UT12-BTM_bin.14.s	UT12-BTM_bin.9.s	UT19-BTM_bin.1.p	WLLO-BTM_bin.1.o	WLLO-BTM_bin.14.s	WLUP-BTM_bin.10.s	WLUP-BTM_bin.13.s	WLUP-BTM_bin.9.o
Spermidine_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
D-Glutamate_e0	0.271594	0	0.218548	0	0.214503	0	0	0	0	0.289355
CMP_e0	0.913294	0	0	0	0	0	0	0	0	0
D-Ribose_e0	0.56	0.0976909	0.709758	0	0	0	0.0131129	0	0	0
gly-pro-L_e0	2.00194	0	0	0	0	1.5553	0	8.13757	2.48104	0
Folate_e0	0.100875	0.0828223	0.0811727	0.131741	0.0796704	0.0783696	0.0393386	0.410042	0.125016	0.107472
AMP_e0	1.23004	1.00991	1.01685	1.60642	0.998034	1.09077	0.492796	4.99993	1.52441	0
Palmitate_e0	1.74096	0	0	2.02032	0	0	0	0	0	0
Putrescine_e0	0.033625	0.0276074	0.0270576	0.0439138	0	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
gly-asn-L_e0	0.506488	3.58113	1.7549	0.304009	3.71982	1.64352	0.711067	8.86484	2.70277	0
TTP_e0	0.173971	0	0	0.227204	0.137401	0	0.120295	1.41433	0.431211	0.221172
UMP_e0	0.986357	0	0	2.48092	0.779019	1.61099	0.740814	0	1.22241	1.05086
Cl-_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
Biomass_c0	-10.8592	-8.91579	-8.7382	-14.1819	-8.57649	-8.43645	-4.23478	-44.1408	-13.458	-11.5693
NH3_e0	0	2.96985	-107.23	-100.181	0	-4.75241	0	-324.129	0	1.23888
Sulfate_e0	0	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
Xylose_e0	0	0	0	0	0	4.83392	0	-476.231	0	0
L-alanylglycine_e0	0	0	0	0	0	0	0	0	0	0
ala-L-Thr-L_e0	0	0	0	2.99341	0	0	0.299784	9.31693	2.84061	2.44196
ala-L-glu-L_e0	0	0	0	0	0	2.31272	1.62592	31.3349	0	0
Cys-Gly_e0	0	0	0.692441	1.12382	0	0.0261232	0	3.49785	0.0416722	0
Gly-Cys_e0	0	0.678906	0	0	0	0.642406	0	0	1.02478	0
Phenylpropanoate_e0	0	0	0	0	0	0	0	0	0	0
S-Adenosyl-4-methylthio-2-oxobutanoate_c0	0	0	0	0	0	0	0	0	0	0
Thyminose_e0	0	0	0	0	0	0	0	0	0	0
Arsenate_e0	0	0	0	0	0	0	0	0	0	0
BET_e0	0	0.0368099	0	0.0439138	0.0265568	0	0	0	0	0.0358239
L-Proline_e0	0	1.64367	1.61093	2.6145	3.28578	0	0.780702	0	0	5.65016
Ala-Leu_e0	0	3.77764	4.02458	0	0	3.8856	1.95043	0	0	0
gly-asp-L_e0	0	0	0	0	0	0	0	6.46399	0.829145	0
Gly-Leu_e0	0	0.328731	0	0	0	0	0	0	0	2.39098
gly-glu-L_e0	0	0	0	0	0	3.51235	0	0	0	0
Arsenite_e0	0	0	0	0	0	0	0	0	0	0
met-L-ala-L_e0	0	0	1.14381	0	0	0	0	5.64126	0	0
Ala-His_e0	0	0.706697	0.692621	1.12411	0	0.668703	0.335664	3.49876	1.06673	0
Myristic acid_e0	0	0.222989	0.218548	2.12819	0.214503	0.211001	0.105914	0	0.336592	0.289355
TRHL_e0	0	0.891957	1.09274	1.41879	1.07252	0	0.476615	6.62393	1.34637	1.15742
Niacin_e0	0	-0.0276074	0	0	0	0	0	0	0	0
GMP_e0	0	1.20726	0	0	0	1.27751	0	5.97697	0	0
Deoxyguanosine_e0	0	0.142837	0.139992	0	0.137401	0	0	0.136681	0.215606	0.185348
dTMP_e0	0	0.285674	0	0	0	0.135158	0	0	0	0
Dephospho-CoA_e0	0	0.0276074	0	0.0439138	0.0265568	0.0261232	0	0	0.0416722	0
3'_5'-Cyclic CMP_e0	0	1.55969	1.52862	0	0.721314	0	0	7.7218	1.13186	0.97302
n-Butanol_e0	0	0	-190.43	0	0	0	0	0	0	0
Salicin_e0	0	0	0	0	0	0	0	0	0	0
GLUM_e0	0	0	100	-20.9473	2.76358	0.844003	-1.98653	100	4.33652	0
D-Fructose_e0	0	0	-0.279134	2.71817	1.64381	0	0	0	0	0
D-Mannitol_e0	0	0	0	0	0	0	0	0	0	0
hexanesulfonate_e0	0	0	0	0	0	0	0	0	0	0
Maltose_e0	0	0	0	0	0	0	0	0	0	0.144678
Sucrose_e0	0	0	0	0	0	-0.175834	0	0	0	0
ethanesulfonate_e0	0	0	0	0	0	0	0	0	0	0
Dulcose_e0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-D-glucosamine_e0	0	0	-1.3809	100	0	0	0.119027	0	0	1.15742
Ursin_e0	0	0	0	0	0	0	0	0	0	0
Sorbitol_e0	0	0	0	0	0	0	0	0	0	0
D-Mannose_e0	0	0	0	28.8013	0	16.2045	0	0	0	54.0938
Isethionate_e0	0	0	0	0	0	0	0	0	0	0
butanesulfonate_e0	0	0	0	0	0	0	0	0	0	0
L-Cysteate_e0	0	0	0	0	0	0	0	0	0	0
MOPS_e0	0	0	0	0	0	0	0	0	0	0
Sulfoacetate_e0	0	0	0	0	0	0	0	0	0	0
methanesulfonate_e0	0	0	0	0	0	0	0	0	0	0
Deoxyuridine_e0	0	0	0.279984	0	0.137401	0	0	0	0	0.149524
Thiamine phosphate_e0	0	0	0.0270576	0	0	0.0261232	0	0.136681	0.0416722	0.0358239
Nitrite_e0	0	0	0	33.164	0	0	0	100	-96.8547	0
L-Lactate_e0	0	0	0	0	0	-0.0097962	-195.497	-0.136681	0	0
