Sample,Factor,Value
PHTU-BTM_bin.15.o,L-Valine_e0,0.0
PHTU-BTM_bin.15.o,L-Lysine_e0,1.17
PHTU-BTM_bin.15.o,Gly-Phe_e0,0.9
PHTU-BTM_bin.15.o,meso-2_6-Diaminopimelate_e0,0.11
PHTU-BTM_bin.15.o,Gly-Tyr_e0,0.8
PHTU-BTM_bin.15.o,ocdca_e0,0.65
PHTU-BTM_bin.15.o,Ala-His_e0,0.61
PHTU-BTM_bin.15.o,Myristic acid_e0,0.89
PHTU-BTM_bin.15.o,UMP_e0,0.96
PHTU-BTM_bin.15.o,Gly-Met_e0,0.0
PHTU-BTM_bin.15.o,scale_max,2.5
PHTU-BTM_bin.15.o,scale_min,-0.5
PHTU-BTM_bin.16.o,O2_e0,2.0
PHTU-BTM_bin.16.o,D-Glucose_e0,1.5
PHTU-BTM_bin.16.o,Nitrate_e0,0.0
PHTU-BTM_bin.16.o,Maltose_e0,0.0
PHTU-BTM_bin.16.o,L-Arginine_e0,0.41
PHTU-BTM_bin.16.o,L-Leucine_e0,0.68
PHTU-BTM_bin.16.o,ala-L-Thr-L_e0,0.0
PHTU-BTM_bin.16.o,L-Isoleucine_e0,0.4
PHTU-BTM_bin.16.o,gly-asn-L_e0,0.32
PHTU-BTM_bin.16.o,L-Valine_e0,0.0
PHTU-BTM_bin.16.o,L-Lysine_e0,0.0
PHTU-BTM_bin.16.o,Gly-Phe_e0,0.21
PHTU-BTM_bin.16.o,meso-2_6-Diaminopimelate_e0,0.51
PHTU-BTM_bin.16.o,Gly-Tyr_e0,0.1
PHTU-BTM_bin.16.o,ocdca_e0,0.37
PHTU-BTM_bin.16.o,Ala-His_e0,0.0
PHTU-BTM_bin.16.o,Myristic acid_e0,0.0
PHTU-BTM_bin.16.o,UMP_e0,0.0
PHTU-BTM_bin.16.o,Gly-Met_e0,0.0
PHTU-BTM_bin.16.o,scale_max,2.5
PHTU-BTM_bin.16.o,scale_min,-0.5
PHTU-BTM_bin.8.o,O2_e0,2.0
PHTU-BTM_bin.8.o,D-Glucose_e0,1.79
PHTU-BTM_bin.8.o,Nitrate_e0,0.0
PHTU-BTM_bin.8.o,Maltose_e0,0.0
PHTU-BTM_bin.8.o,L-Arginine_e0,0.45
PHTU-BTM_bin.8.o,L-Leucine_e0,0.72
PHTU-BTM_bin.8.o,ala-L-Thr-L_e0,0.78
PHTU-BTM_bin.8.o,L-Isoleucine_e0,0.0
PHTU-BTM_bin.8.o,gly-asn-L_e0,0.36
PHTU-BTM_bin.8.o,L-Valine_e0,0.0
PHTU-BTM_bin.8.o,L-Lysine_e0,0.0
PHTU-BTM_bin.8.o,Gly-Phe_e0,0.24
PHTU-BTM_bin.8.o,meso-2_6-Diaminopimelate_e0,0.54
PHTU-BTM_bin.8.o,Gly-Tyr_e0,0.14
PHTU-BTM_bin.8.o,ocdca_e0,0.0
PHTU-BTM_bin.8.o,Ala-His_e0,0.0
PHTU-BTM_bin.8.o,Myristic acid_e0,0.0
PHTU-BTM_bin.8.o,UMP_e0,0.3
PHTU-BTM_bin.8.o,Gly-Met_e0,0.0
PHTU-BTM_bin.8.o,scale_max,2.5
PHTU-BTM_bin.8.o,scale_min,-0.5
UT12-BTM_bin.1.o,O2_e0,2.0
UT12-BTM_bin.1.o,D-Glucose_e0,2.0
UT12-BTM_bin.1.o,Nitrate_e0,1.94
UT12-BTM_bin.1.o,Maltose_e0,0.0
UT12-BTM_bin.1.o,L-Arginine_e0,0.43
UT12-BTM_bin.1.o,L-Leucine_e0,0.7
UT12-BTM_bin.1.o,ala-L-Thr-L_e0,0.77
UT12-BTM_bin.1.o,L-Isoleucine_e0,0.0
UT12-BTM_bin.1.o,gly-asn-L_e0,0.34
UT12-BTM_bin.1.o,L-Valine_e0,0.0
UT12-BTM_bin.1.o,L-Lysine_e0,0.0
UT12-BTM_bin.1.o,Gly-Phe_e0,0.23
UT12-BTM_bin.1.o,meso-2_6-Diaminopimelate_e0,0.53
UT12-BTM_bin.1.o,Gly-Tyr_e0,0.12
UT12-BTM_bin.1.o,ocdca_e0,0.0
UT12-BTM_bin.1.o,Ala-His_e0,0.0
UT12-BTM_bin.1.o,Myristic acid_e0,0.22
UT12-BTM_bin.1.o,UMP_e0,0.0
UT12-BTM_bin.1.o,Gly-Met_e0,0.0
UT12-BTM_bin.1.o,scale_max,2.5
UT12-BTM_bin.1.o,scale_min,-0.5
UT12-BTM_bin.6.o,O2_e0,2.0
UT12-BTM_bin.6.o,D-Glucose_e0,2.0
UT12-BTM_bin.6.o,Nitrate_e0,2.0
UT12-BTM_bin.6.o,Maltose_e0,0.0
UT12-BTM_bin.6.o,L-Arginine_e0,0.57
UT12-BTM_bin.6.o,L-Leucine_e0,0.85
UT12-BTM_bin.6.o,ala-L-Thr-L_e0,0.51
UT12-BTM_bin.6.o,L-Isoleucine_e0,0.7
UT12-BTM_bin.6.o,gly-asn-L_e0,0.47
UT12-BTM_bin.6.o,L-Valine_e0,0.0
UT12-BTM_bin.6.o,L-Lysine_e0,0.0
UT12-BTM_bin.6.o,Gly-Phe_e0,0.37
UT12-BTM_bin.6.o,meso-2_6-Diaminopimelate_e0,0.67
UT12-BTM_bin.6.o,Gly-Tyr_e0,0.26
UT12-BTM_bin.6.o,ocdca_e0,0.11
UT12-BTM_bin.6.o,Ala-His_e0,0.08
UT12-BTM_bin.6.o,Myristic acid_e0,0.0
UT12-BTM_bin.6.o,UMP_e0,0.14
UT12-BTM_bin.6.o,Gly-Met_e0,0.0
UT12-BTM_bin.6.o,scale_max,2.5
