Sample,Factor,Value
WLLO-BTM_bin.14.s,gly-asn-L_e0,0.0
WLLO-BTM_bin.14.s,Gly-Phe_e0,0.0
WLLO-BTM_bin.14.s,ocdca_e0,0.0
WLLO-BTM_bin.14.s,L-Proline_e0,0.0
WLLO-BTM_bin.14.s,TRHL_e0,0.0
WLLO-BTM_bin.14.s,AMP_e0,0.0
WLLO-BTM_bin.14.s,Gly-Tyr_e0,0.0
WLLO-BTM_bin.14.s,scale_max,2.5
WLLO-BTM_bin.14.s,scale_min,-0.5
WLUP-BTM_bin.10.s,O2_e0,2.0
WLUP-BTM_bin.10.s,D-Glucose_e0,2.0
WLUP-BTM_bin.10.s,Phosphate_e0,0.0
WLUP-BTM_bin.10.s,L-Leucine_e0,1.31
WLUP-BTM_bin.10.s,L-Isoleucine_e0,1.16
WLUP-BTM_bin.10.s,L-Valine_e0,1.19
WLUP-BTM_bin.10.s,L-Arginine_e0,1.04
WLUP-BTM_bin.10.s,meso-2_6-Diaminopimelate_e0,1.14
WLUP-BTM_bin.10.s,gly-asn-L_e0,0.95
WLUP-BTM_bin.10.s,Gly-Phe_e0,0.83
WLUP-BTM_bin.10.s,ocdca_e0,0.97
WLUP-BTM_bin.10.s,L-Proline_e0,0.0
WLUP-BTM_bin.10.s,TRHL_e0,0.82
WLUP-BTM_bin.10.s,AMP_e0,0.7
WLUP-BTM_bin.10.s,Gly-Tyr_e0,0.73
WLUP-BTM_bin.10.s,scale_max,2.5
WLUP-BTM_bin.10.s,scale_min,-0.5
WLUP-BTM_bin.13.s,O2_e0,2.0
WLUP-BTM_bin.13.s,D-Glucose_e0,1.53
WLUP-BTM_bin.13.s,Phosphate_e0,0.31
WLUP-BTM_bin.13.s,L-Leucine_e0,0.79
WLUP-BTM_bin.13.s,L-Isoleucine_e0,0.64
WLUP-BTM_bin.13.s,L-Valine_e0,0.0
WLUP-BTM_bin.13.s,L-Arginine_e0,0.52
WLUP-BTM_bin.13.s,meso-2_6-Diaminopimelate_e0,0.62
WLUP-BTM_bin.13.s,gly-asn-L_e0,0.43
WLUP-BTM_bin.13.s,Gly-Phe_e0,0.32
WLUP-BTM_bin.13.s,ocdca_e0,0.06
WLUP-BTM_bin.13.s,L-Proline_e0,0.0
WLUP-BTM_bin.13.s,TRHL_e0,0.13
WLUP-BTM_bin.13.s,AMP_e0,0.18
WLUP-BTM_bin.13.s,Gly-Tyr_e0,0.18
WLUP-BTM_bin.13.s,scale_max,2.5
WLUP-BTM_bin.13.s,scale_min,-0.5
WLUP-BTM_bin.9.o,O2_e0,2.0
WLUP-BTM_bin.9.o,D-Glucose_e0,0.32
WLUP-BTM_bin.9.o,Phosphate_e0,0.0
WLUP-BTM_bin.9.o,L-Leucine_e0,0.47
WLUP-BTM_bin.9.o,L-Isoleucine_e0,0.58
WLUP-BTM_bin.9.o,L-Valine_e0,0.61
WLUP-BTM_bin.9.o,L-Arginine_e0,0.46
WLUP-BTM_bin.9.o,meso-2_6-Diaminopimelate_e0,0.56
WLUP-BTM_bin.9.o,gly-asn-L_e0,0.0
WLUP-BTM_bin.9.o,Gly-Phe_e0,0.25
WLUP-BTM_bin.9.o,ocdca_e0,0.0
WLUP-BTM_bin.9.o,L-Proline_e0,0.75
WLUP-BTM_bin.9.o,TRHL_e0,0.07
WLUP-BTM_bin.9.o,AMP_e0,0.0
WLUP-BTM_bin.9.o,Gly-Tyr_e0,0.0
WLUP-BTM_bin.9.o,scale_max,2.5
WLUP-BTM_bin.9.o,scale_min,-0.5
