Order,KO,Organism,Sample,Average,Stdev
a6b,K01969,2_Chthoniobacterales,1_SurfHigh,0,0
a6b,K01969,2_Chthoniobacterales,2_SurfLow,0.8,0.447213595
a6b,K01969,2_Chthoniobacterales,3_SubHigh,0.4,0.699205899
a6b,K01969,2_Chthoniobacterales,4_SubLow,0,0
a6b,K01969,3_Rokubacterales,3_SubHigh,1,0
a6b,K01969,4_Burkholderiales,4_SubLow,0,0
a7a,K05607,1_Rhizobiales,1_SurfHigh,0,0
a7a,K05607,1_Rhizobiales,2_SurfLow,0,0
a7a,K05607,1_Rhizobiales,3_SubHigh,0,0
a7a,K05607,1_Rhizobiales,4_SubLow,1.333333333,0.577350269
a7a,K05607,2_Chthoniobacterales,1_SurfHigh,0,0
a7a,K05607,2_Chthoniobacterales,2_SurfLow,0,0
a7a,K05607,2_Chthoniobacterales,3_SubHigh,0,0
a7a,K05607,2_Chthoniobacterales,4_SubLow,0,0
a7a,K05607,3_Rokubacterales,3_SubHigh,1.5,0.836660027
a7a,K05607,4_Burkholderiales,4_SubLow,0.75,0.5
a7b,K13766,1_Rhizobiales,1_SurfHigh,0.818181818,0.981649817
a7b,K13766,1_Rhizobiales,2_SurfLow,0.3125,0.478713554
a7b,K13766,1_Rhizobiales,3_SubHigh,0.55,0.686332741
a7b,K13766,1_Rhizobiales,4_SubLow,0.666666667,0.577350269
a7b,K13766,2_Chthoniobacterales,1_SurfHigh,0.4,0.547722558
a7b,K13766,2_Chthoniobacterales,2_SurfLow,1,0.707106781
a7b,K13766,2_Chthoniobacterales,3_SubHigh,0.8,0.632455532
a7b,K13766,2_Chthoniobacterales,4_SubLow,0.25,0.5
a7b,K13766,3_Rokubacterales,3_SubHigh,2.666666667,1.032795559
a7b,K13766,4_Burkholderiales,4_SubLow,0.5,0.577350269
a8,K01640,1_Rhizobiales,1_SurfHigh,0.181818182,0.404519917
a8,K01640,1_Rhizobiales,2_SurfLow,0.5625,0.963932916
a8,K01640,1_Rhizobiales,3_SubHigh,0.05,0.223606798
a8,K01640,1_Rhizobiales,4_SubLow,1.333333333,1.154700538
a8,K01640,2_Chthoniobacterales,1_SurfHigh,0.2,0.447213595
a8,K01640,2_Chthoniobacterales,2_SurfLow,1,0.707106781
a8,K01640,2_Chthoniobacterales,3_SubHigh,0.5,0.527046277
a8,K01640,2_Chthoniobacterales,4_SubLow,0,0
a8,K01640,3_Rokubacterales,3_SubHigh,0,0
a8,K01640,4_Burkholderiales,4_SubLow,2.5,2.380476143
b5,K00248,1_Rhizobiales,1_SurfHigh,1.181818182,0.603022689
b5,K00248,1_Rhizobiales,2_SurfLow,1.0625,1.611159003
b5,K00248,1_Rhizobiales,3_SubHigh,0.8,0.951453182
b5,K00248,1_Rhizobiales,4_SubLow,0.333333333,0.577350269
b5,K00248,2_Chthoniobacterales,1_SurfHigh,0,0
b5,K00248,2_Chthoniobacterales,2_SurfLow,0,0
b5,K00248,2_Chthoniobacterales,3_SubHigh,0,0
b5,K00248,2_Chthoniobacterales,4_SubLow,0.5,0.577350269
b5,K00248,3_Rokubacterales,3_SubHigh,0.5,0.836660027
b5,K00248,4_Burkholderiales,4_SubLow,1,0.816496581
b6,K01692,1_Rhizobiales,1_SurfHigh,4.363636364,2.335496832
b6,K01692,1_Rhizobiales,2_SurfLow,3.6875,2.914761282
b6,K01692,1_Rhizobiales,3_SubHigh,4.55,1.904979624
b6,K01692,1_Rhizobiales,4_SubLow,0.666666667,0.577350269
b6,K01692,2_Chthoniobacterales,1_SurfHigh,0.2,0.447213595
b6,K01692,2_Chthoniobacterales,2_SurfLow,0,0
b6,K01692,2_Chthoniobacterales,3_SubHigh,0.1,0.316227766
b6,K01692,2_Chthoniobacterales,4_SubLow,0,0
b6,K01692,3_Rokubacterales,3_SubHigh,0.333333333,0.816496581
b6,K01692,4_Burkholderiales,4_SubLow,0,0
b7,K05605,1_Rhizobiales,1_SurfHigh,0,0
b7,K05605,1_Rhizobiales,2_SurfLow,0,0
b7,K05605,1_Rhizobiales,3_SubHigh,0.05,0.223606798
b7,K05605,1_Rhizobiales,4_SubLow,0.666666667,0.577350269
b7,K05605,2_Chthoniobacterales,1_SurfHigh,0,0
b7,K05605,2_Chthoniobacterales,2_SurfLow,0,0
b7,K05605,2_Chthoniobacterales,3_SubHigh,0,0
b7,K05605,2_Chthoniobacterales,4_SubLow,0.5,0.577350269
b7,K05605,3_Rokubacterales,3_SubHigh,1.333333333,0.816496581
b7,K05605,4_Burkholderiales,4_SubLow,0,0
b8,K00020,1_Rhizobiales,1_SurfHigh,3.181818182,1.721521526
b8,K00020,1_Rhizobiales,2_SurfLow,3.4375,2.87445647
b8,K00020,1_Rhizobiales,3_SubHigh,3.55,2.327750213
b8,K00020,1_Rhizobiales,4_SubLow,0.333333333,0.577350269
b8,K00020,2_Chthoniobacterales,1_SurfHigh,0.8,0.836660027
b8,K00020,2_Chthoniobacterales,2_SurfLow,0.6,0.547722558
