,DCFS-BTM_bin.3.s,UT12-BTM_bin.10.o,UT12-BTM_bin.14.s,UT12-BTM_bin.9.s,UT19-BTM_bin.1.p,WLLO-BTM_bin.1.o,WLLO-BTM_bin.14.s,WLUP-BTM_bin.10.s,WLUP-BTM_bin.13.s,WLUP-BTM_bin.9.o,CLBJ-BTM_bin.2.o,DELA-BTM_bin.5.s,TEAK-BTM_bin.1.o,TEAK-BTM_bin.9.s,KONZ-TOP_bin.5.s,KONZ-TOP_bin.6.o,KONZ-TOP_bin.7.p,NWBC-TOP_bin.4.o,ORNL-TOP_bin.2.p,OCTU-TOP_bin.16.o,OCTU-TOP_bin.25.o,OCTU-TOP_bin.9.o,OSBS-TOP_bin.2.o,PPRH-TOP_bin.21.o
Co2+_e0,0.0210156,0.0276074,0.0270576,0.0439138,0.0265568,0.016327,0.0131129,0.0,0.0416722,0.0358239,0.00965933,0.0187098,0.0253352,0.0197068,0.0352083,0.0353215,0.00699238,0.0593173,0.045719,0.0394829,0.0240623,0.0456467,0.020587,0.0418608
Citrate_e0,0.440631,2.42645,0.0,0.0,0.0796704,0.0424502,0.0,0.0,0.0,0.0,0.0,0.0,3.14142,0.0,0.0,0.0,0.492716,0.0,0.0,0.0789657,0.0240623,5.65993,0.0,7.75912
D-Arabinose_e0,0.814782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.271096,0.0,0.0,0,0,0,0,0
Riboflavin_e0,0.06725,0.0552149,0.0541151,0.0878276,0.0531136,0.0522464,0.0262257,0.273361,0.0833443,0.0716479,0.0309098,0.0598714,0.0506704,0.0630617,0.0704166,0.070643,0.0223756,0.118635,0.146301,0.0789657,0.0481247,0.0912934,0.0658784,0.0837217
Deoxycytidine_e0,0.173971,0.0,0.0,0.227204,0.0,0.0,0.0153926,0.0,0.0,0.0,0.0,0.0,0.131081,0.0,0,0,0,0,0,0.204279,0.0,0.236169,0.0,0.0
L-Arginine_e0,2.67892,2.1995,2.15569,3.49863,2.14235,2.08125,1.04471,10.8894,3.32004,2.85411,2.1669,77.8149,2.0438,2.51208,2.80506,2.81408,0.891337,4.72583,5.82793,3.1851,1.91706,3.63669,2.62428,3.33507
Gly-Met_e0,1.38781,1.16706,0.0,1.81247,0.0,0.0,0.554324,0.0,1.76162,0.168093,0.0,1.23555,1.071,0.0,0.0,0.0,0.0,0.0,3.09231,0.0,1.01719,1.92964,0.0,1.7696
Ala-Gln_e0,3.29354,0.0,0.0,0.0,0.0,1.86645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778362,0.0,0.0,0.0,0.0,0.0,0.0,1.31803,0.0
Cobinamide_e0,0.0126094,0.0,0.0,0.0,0.0,0.0097962,0.0,0.136681,0.0,0.0,0.0057956,0.0112259,0.0,0.0118241,0.0,0.0,0.00419543,0.0,0.0274314,0.0,0.0,0.0,0.0123522,0.0
dATP_e0,0.173971,0.142837,0.139992,0.227204,0.137401,0.0,0.067844,0.707166,0.215606,0.185348,0.0799615,0.154883,0.131081,0.0,0.182163,0.0,0.0578841,0.0,0.37847,0.204279,0.124495,0.236169,0.170423,0.216582
