Compounds,CLBJ-BTM_bin.2.o,DELA-BTM_bin.5.s,TEAK-BTM_bin.1.o,TEAK-BTM_bin.9.s
O2_e0,1.69,2.0,0,2.0
D-Glucose_e0,1.05,0,2.0,0.36
L-Arginine_e0,0.34,1.89,0.31,0.4
GLUM_e0,0,1.82,0,0
L-Valine_e0,0.25,0.53,0.46,0.56
L-Isoleucine_e0,0.21,0.5,0.43,0.52
meso-2_6-Diaminopimelate_e0,0.19,0.48,0.41,0.5
L-Leucine_e0,0,0.65,0,0.67
L-Serine_e0,0.01,0.21,0,0.33
L-Proline_e0,0,0.25,0,0.27
